item,itemLabel,count
http://www.wikidata.org/entity/Q4465351,Фёдор Антонович Туманский,2
http://www.wikidata.org/entity/Q1684135,Пётр Васильевич Орешин,2
http://www.wikidata.org/entity/Q11739963,Клеменс Шанявский,2
http://www.wikidata.org/entity/Q4369658,Пётр Николаевич Полевой,2
http://www.wikidata.org/entity/Q4347504,"Пачовский, Василий Николаевич",2
http://www.wikidata.org/entity/Q1776611,"Мушфиг, Микаил",2
http://www.wikidata.org/entity/Q1784989,Козьма Прутков,2
http://www.wikidata.org/entity/Q1965592,"Сергеев-Ценский, Сергей Николаевич",2
http://www.wikidata.org/entity/Q1965701,Владимир Григорьевич Бенедиктов,2
http://www.wikidata.org/entity/Q3888681,"Петренко, Михаил Николаевич",2
http://www.wikidata.org/entity/Q3804499,"Яхович, Станислав",2
http://www.wikidata.org/entity/Q12109911,"Кириленко, Иван Ульянович",2
http://www.wikidata.org/entity/Q12085720,"Буревой, Кость Степанович",2
http://www.wikidata.org/entity/Q1958772,Керопэ Патканян,2
http://www.wikidata.org/entity/Q1819036,Леонард Совинский,2
http://www.wikidata.org/entity/Q11817405,Q11817405,2
http://www.wikidata.org/entity/Q11903056,"Саволайнен, Юрьё",2
http://www.wikidata.org/entity/Q9312701,"Зморский, Роман",2
http://www.wikidata.org/entity/Q3920093,Ядвигин Ш.,2
http://www.wikidata.org/entity/Q3920282,"Желиговский, Эдуард",2
http://www.wikidata.org/entity/Q1962542,Николай Фёдорович Щербина,2
http://www.wikidata.org/entity/Q7544305,Шах-Азиз Смбат Симонович,2
http://www.wikidata.org/entity/Q1932393,"Ханыков, Николай Владимирович",2
http://www.wikidata.org/entity/Q1964476,Николай Васильевич Берг,2
http://www.wikidata.org/entity/Q12077193,"Айзеншток, Иеремия Яковлевич",2
http://www.wikidata.org/entity/Q16701254,Лев Израилевич Каценельсон,2
http://www.wikidata.org/entity/Q12172791,Яков Иванович Щоголев,2
http://www.wikidata.org/entity/Q10970922,Иоаннес Иоаннисян,2
http://www.wikidata.org/entity/Q10977097,Баграм Алазан,2
http://www.wikidata.org/entity/Q12349586,Иван Сергеевич Наумов,2
http://www.wikidata.org/entity/Q15453784,Виктор Викторович Гофман,2
http://www.wikidata.org/entity/Q15633182,Надежда Александровна Лухманова,2
http://www.wikidata.org/entity/Q24352843,"Лукашевич, Клавдия Владимировна",2
http://www.wikidata.org/entity/Q19906294,Q19906294,2
http://www.wikidata.org/entity/Q22254513,Q22254513,2
http://www.wikidata.org/entity/Q18510086,Василий Иванович Красов,2
http://www.wikidata.org/entity/Q18533524,Иван Петрович Клюшников,2
http://www.wikidata.org/entity/Q15987168,Борис Леонидович Седерхольм,2
http://www.wikidata.org/entity/Q16371362,Аршалуйс Аршаруни,2
http://www.wikidata.org/entity/Q24334,Микола Хвылевой,2
http://www.wikidata.org/entity/Q20509077,Левон Манвелян,2
http://www.wikidata.org/entity/Q20509375,Геворк Додохян,2
http://www.wikidata.org/entity/Q20675017,Филипп Степанович Шкулёв,2
http://www.wikidata.org/entity/Q36591,Владимир Владимирович Набоков,2
http://www.wikidata.org/entity/Q44695,Константин Михайлович Симонов,2
